time,MMP_eps_imag,MMP_eps_real,MMP_sigma_imag,MMP_sigma_real,attenuation,dispersion,omega_times_volume
-4.25,0,0,0,0,0,0,0
-4,-0.00094636708482788,0.19998573201052,2.145952304744e-10,4089.8075809033,0.0047321730171661,10225.019447364,100.5309649151
-3.75,-0.0016648349292512,0.19998572113589,1.9744161861013e-10,4092.4032647895,0.0083247689875298,10231.029621452,178.77214498001
-3.5,-0.0028694813501425,0.19998568953947,-8.8986595869756e-11,4100.0923721201,0.014348433414141,10248.854401461,317.90682450502
-3.25,-0.0046882627810171,0.19998561086543,-3.7310776690447e-10,4120.3370297783,0.023443000527442,10295.92535312,565.32716032758
-3,-0.006936276152497,0.19998547009624,-5.0007464835744e-10,4162.1367637818,0.034683900531049,10393.594694127,1005.3096491446
-2.75,-0.0092363200081668,0.19998530456887,-6.370903804509e-10,4226.5166660786,0.046184993582646,10544.575957258,1787.7214497844
-2.5,-0.011424902413108,0.19998512955631,-6.7621286348185e-10,4312.2545515074,0.057128759715403,10746.365142413,3179.0682450585
-2.25,-0.013229114351575,0.19998491955813,-1.1092335938656e-09,4419.8272951158,0.066150559655973,11002.256725307,5653.2716032772
-2,-0.014293316290845,0.19998466523109,-1.4687735472307e-09,4546.3097829282,0.07147206149163,11308.87734603,10053.096491485
-1.75,-0.014230692462112,0.19998437704768,-1.6894290411074e-09,4680.9189122729,0.071159020880148,11644.249579279,17877.214497981
-1.5,-0.013243281194938,0.19998406094225,-1.9314452259778e-09,4806.5763491581,0.066221683530477,11964.928665234,31790.682450508
-1.25,-0.011959678591558,0.1999836345361,-1.8201351537073e-09,4918.0985056854,0.059803286500049,12252.432428987,56532.716032649
-1,-0.010605459022055,0.19998307588884,-2.1469697131238e-09,5018.9175602739,0.053031782688772,12513.164102506,100530.96491497
-0.75,-0.009137892351898,0.19998253853866,-2.5779707257811e-09,5108.1998560916,0.045693451131136,12745.00450923,178772.1449799
-0.5,-0.0076510065699364,0.19998211612201,-2.1146293605057e-09,5182.9117278745,0.038258453896882,12939.498391249,317906.82450504
-0.25,-0.0063110317334345,0.19998179801231,-1.4432881556559e-09,5243.5488684988,0.031558030761335,13097.021871528,565327.16032995
0,-0.0051888972279876,0.19998156534053,-8.0807849300868e-10,5292.5856817899,0.025946877749063,13223.781120033,1005309.6491477
0.25,-0.0043012502997606,0.19998140002742,-1.921789394288e-10,5332.0695221865,0.021508251763232,13325.249299567,1787721.4497927
0.5,-0.003665957348888,0.19998128454843,2.1963986185369e-10,5363.8463181141,0.018331502156185,13406.365619451,3179068.2450464
0.75,-0.0033259915654536,0.199981201418,6.3726846022405e-10,5389.9007699703,0.01663152107245,13472.292038199,5653271.6033044
1,-0.0033585917961015,0.19998114071138,9.1270457858172e-10,5413.4871786977,0.016794542646311,13531.177689738,10053096.491494
1.25,-0.0038131626435809,0.19998110455805,1.2189325104828e-09,5440.8246267116,0.01906761467316,13598.402748306,17877214.497979
1.5,-0.0045315158147704,0.19998109739437,1.4767991274311e-09,5479.6189877664,0.022659720712943,13693.311322328,31790682.450521
1.75,-0.0051734655475509,0.19998110035202,1.9731825062763e-09,5529.4316983072,0.025869772386068,13815.639623688,56532716.032642
2,-0.005718623973917,0.1999810755486,2.5570798811714e-09,5583.2183336224,0.028595825671609,13947.961156666,100530964.91525
2.25,-0.0062981554868156,0.19998100682123,3.4880454080621e-09,5639.9358378587,0.031493768268551,14087.206225389,178772144.97983
2.5,-0.0070003909757907,0.19998090086479,4.1622243429629e-09,5701.7370547178,0.035005297734257,14238.25684971,317906824.50512
2.75,-0.0078939342664399,0.1999807377285,5.1869175621277e-09,5775.6669822063,0.039473473076877,14418.09262107,565327160.32969
3,-0.0087400581734554,0.19998051610142,6.086680492956e-09,5866.5794551436,0.043704548543273,14639.914057285,1005309649.1444
3.25,-0.0092947747165515,0.19998032874854,6.7263679071061e-09,5966.9671578296,0.046478445029786,14886.726271609,1787721449.7869
3.5,-0.0097029988710369,0.19998023719214,7.1655792410752e-09,6070.6920651605,0.048519788792684,15142.581774826,3179068245.0445
3.75,-0.010044547173856,0.19998018181622,7.5130648369282e-09,6180.1788742446,0.050227712980734,15413.093826407,5653271603.2981
4,-0.010196824122238,0.19998007663795,7.3563526381548e-09,6295.7388807012,0.050989199993823,15700.096603661,10053096491.479
4.25,-0.010049795148387,0.19997989888608,7.3678367851215e-09,6416.287921392,0.050254026552647,16001.919823803,17877214497.934
4.5,-0.009486833891958,0.19997964702184,7.2444907850411e-09,6537.1182395594,0.047438997085259,16307.758957118,31790682450.568
4.75,-0.0085445647223004,0.19997934887537,6.745858094348e-09,6649.8794298327,0.04272723543984,16596.117197606,56532716032.986
5,-0.007354175324896,0.19997906480882,5.8731490781838e-09,6747.4657048046,0.036774726054954,16847.645763215,100530964915.11
5.25,-0.0061163844130999,0.19997884371987,4.9309112348794e-09,6826.9089614408,0.030585157407012,17053.125616612,178772144979.58
5.5,-0.0049511006689207,0.19997869907685,3.97496546789e-09,6891.190231635,0.024758140201389,17219.255823586,317906824506.61
5.75,-0.0038356869880245,0.1999785963291,3.0274953655152e-09,6942.0716714003,0.01918048760478,17350.653548905,565327160328.12
6,-0.002783057771768,0.19997850738213,2.2660473497638e-09,6978.7039023583,0.01391678439981,17445.256097189,1005309649145.9

