time,MMP_eps_imag,MMP_eps_real,MMP_sigma_imag,MMP_sigma_real,attenuation,dispersion,omega_times_volume
-4.25,0,0,0,0,0,0,0
-4,-0.00011371526215344,0.19999224061332,4.6310053014587e-11,2534.3221448369,0.00056859837065858,6336.0491329773,100.53096491499
-3.75,-0.00020169461055254,0.199992240301,5.1153664637482e-12,2534.3621670111,0.0010085121815196,6336.1448061878,178.77214497937
-3.5,-0.00035748247557473,0.19999223936778,9.7331309678594e-12,2534.488197396,0.0017874817378193,6336.4461228935,317.90682450519
-3.25,-0.00062964764556666,0.19999223687072,4.3439696284508e-12,2534.8814098478,0.0031483604334804,6337.386699543,565.32716032807
-3,-0.0010928110159509,0.19999223185497,-8.802514273043e-12,2536.0806252132,0.0054642673158558,6340.2585218077,1005.3096491486
-2.75,-0.0018426067100491,0.19999222614492,-2.2517099296238e-11,2539.5539705763,0.0092133916680949,6348.5928022207,1787.7214497935
-2.5,-0.0029223158596629,0.19999222081645,-5.600808705708e-11,2548.5255537085,0.014612147651186,6370.2015793197,3179.0682450568
-2.25,-0.0040953712998678,0.19999219324752,-7.7331030468031e-11,2567.1176230675,0.020477655819261,6415.3543993859,5653.2716032864
-2,-0.0048277069847651,0.19999208345981,-5.6959770233789e-11,2595.4681670394,0.024139490430035,6485.1482737013,10053.096491485
-1.75,-0.0048402765586713,0.19999186394396,1.4852119534225e-11,2627.0359316373,0.024202367352447,6564.0121111635,17877.214497945
-1.5,-0.0043757225195598,0.19999160805256,8.1525008965855e-11,2654.9443101674,0.021879530657186,6634.4632794813,31790.68245053
-1.25,-0.0037754447947372,0.19999139701849,1.2440981578266e-10,2677.3271094498,0.018878036010707,6691.2210794565,56532.71603289
-1,-0.0032248254856911,0.19999124677223,1.7003909391633e-10,2694.7275506724,0.016124833150205,6735.3624708958,100530.96491496
-0.75,-0.0028410283806566,0.19999114320303,1.6458590046398e-10,2707.9780132572,0.014205770991491,6768.8788602112,178772.1449797
-0.5,-0.0027273722594283,0.19999106978162,1.0158363039636e-10,2718.2635970194,0.013637470225115,6794.6987575802,317906.82450528
-0.25,-0.0029993545285239,0.1999910160469,2.2060131499302e-13,2727.1207901497,0.014997446324392,6816.5750359898,565327.16032958
0,-0.0038078099575801,0.19999097983523,-1.3781420449277e-10,2736.7031531399,0.01903990850341,6839.5869914953,1005309.6491481
0.25,-0.0052791021916057,0.19999096529876,-2.3060220399884e-10,2750.9076388543,0.026396703389588,6872.7909173811,1787721.4497928
0.5,-0.0072692576795004,0.19999096879123,-2.3047697084166e-10,2775.0475592419,0.036347929726127,6928.778080113,3179068.245056
0.75,-0.0094801636584915,0.19999095455388,-3.4299674211979e-11,2810.908245336,0.047402962197147,7011.8325776428,5653271.6032973
1,-0.012237053685353,0.1999908508969,-6.7313266072233e-11,2858.9292951395,0.061188067506434,7120.9893718156,10053096.491485
1.25,-0.01613251045333,0.19999057453286,2.9697844183829e-10,2927.6037639191,0.080666353857093,7272.0347801437,17877214.497965
1.5,-0.020939427121773,0.19999005096893,4.2826009405417e-10,3033.6769484889,0.10470234404338,7502.3248243823,31790682.45053
1.75,-0.025386955466566,0.19998925265638,3.0743763090868e-10,3181.8997071717,0.12694159875784,7829.0186199964,56532716.032893
2,-0.028984763576875,0.19998814097537,8.18065615249e-10,3358.9879021392,0.14493241166982,8225.194187385,100530964.91486
2.25,-0.032048165609983,0.19998661085071,1.3336292070676e-09,3564.2618800961,0.16025155621035,8688.1350852487,178772144.97943
2.5,-0.034153407940598,0.19998476218844,1.0428014007857e-09,3799.486402635,0.17078005127447,9230.2324083903,317906824.50521
2.75,-0.034985474902398,0.19998281829163,5.1768145326037e-10,4058.3322484021,0.17494240355892,9845.3858071161,565327160.32926
3,-0.034656827169738,0.19998094640005,-1.8305623683545e-10,4334.2294393817,0.17330064585453,10520.638447912,1005309649.1489
3.25,-0.032896137298396,0.19997934847993,-8.6777962593487e-10,4608.0831813375,0.16449767212667,11217.848433499,1787721449.7945
3.5,-0.029686096149232,0.19997811032396,-1.4358860767061e-09,4856.2565241465,0.14844672799978,11880.173602833,3179068245.0549
3.75,-0.025851909683893,0.19997718023617,-1.7341097446888e-09,5071.8358300538,0.12927429846392,12472.596378434,5653271603.2882
4,-0.022068821267746,0.19997643669832,-1.777636704503e-09,5259.928678119,0.11035710822756,12993.131802214,10053096491.49
4.25,-0.018498858695719,0.19997571752778,-1.8516095323662e-09,5422.0906009178,0.092505524792434,13441.846932235,17877214497.93
4.5,-0.015171437796511,0.1999749305829,-1.8628405484833e-09,5559.3003892307,0.075866698651781,13820.446181188,31790682450.564
4.75,-0.012109582225883,0.19997420833709,-1.716808029073e-09,5671.0852625632,0.060555720292734,14127.735387507,56532716032.961
5,-0.0093380615062053,0.19997370754943,-1.5625896132576e-09,5756.4428524747,0.046696446350791,14361.682783546,100530964914.97
5.25,-0.0069430706672866,0.19997338552621,-1.3617680316713e-09,5817.9060691285,0.034719973605337,14529.186343099,178772144979.38
5.5,-0.0050057692525103,0.19997316217239,-1.1276224398671e-09,5860.5327926942,0.025032205312413,14644.122122761,317906824505.49
5.75,-0.0035170071269619,0.19997302424324,-9.0161900168084e-10,5889.6551906812,0.017587407802831,14721.570587656,565327160328.4
6,-0.0023947942993483,0.19997295827315,-7.0955374908976e-10,5909.0001719548,0.011975590699884,14772.379492147,1005309649149.3

