time,MMP_eps_imag,MMP_eps_real,MMP_sigma_imag,MMP_sigma_real,attenuation,dispersion,omega_times_volume
-4.25,0,0,0,0,0,0,0
-4,7.0617091444151e-08,-0.4,-24.705581954369,-14254.644089936,0.0017333367539591,35636.610213935,100.53096491511
-3.75,1.0943937456633e-07,-0.4,-40.686563059902,-14256.402718681,0.0028541887055313,35641.006768871,178.77214498002
-3.5,2.028860595811e-07,-0.4,-71.044065241489,-14261.683841297,0.0049819712702763,35654.209513147,317.90682450498
-3.25,4.0124402366556e-07,-0.4,-120.42964020564,-14276.168343424,0.0084367148730341,35690.420556512,565.32716032754
-3,8.4776933318136e-07,-0.4,-191.52113287072,-14308.593238442,0.013387162600758,35771.482081159,1005.3096491445
-2.75,1.7732732152365e-06,-0.4,-288.78382577786,-14364.544792227,0.020108366561943,35911.358779284,1787.7214497841
-2.5,3.2797490197756e-06,-0.4,-428.21460867633,-14456.211644542,0.029629702103563,36140.520331198,3179.0682450602
-2.25,5.2710281676716e-06,-0.4,-618.84800732874,-14622.448530545,0.042334978278014,36556.100932733,5653.2716032773
-2,7.3559126066967e-06,-0.4,-822.73725938158,-14899.936420847,0.055235947216733,37249.803214623,10053.096491483
-1.75,8.9788502034812e-06,-0.4,-984.2053807418,-15271.421062024,0.064470071289288,38178.497404367,17877.214497973
-1.5,9.6850848842416e-06,-0.4,-1097.2138414971,-15688.116763479,0.069963499672279,39220.225469397,31790.682450506
-1.25,9.456262359753e-06,-0.4,-1182.3442539585,-16131.661764183,0.073317162461599,40329.084509434,56532.716032613
-1,9.0040052871053e-06,-0.4,-1245.1565623909,-16600.792141745,0.075028488926423,41501.910262106,100530.96491505
-0.75,8.6660181630032e-06,-0.4,-1279.306840934,-17094.99772625,0.074856943538756,42737.425004963,178772.14497988
-0.5,8.1866629574857e-06,-0.4,-1268.1498386655,-17602.844488703,0.072062897632489,44007.046316353,317906.82450506
-0.25,7.486793055523e-06,-0.4,-1203.6960849761,-18097.738057399,0.066529657744529,45244.288803751,565327.16032998
0,6.6616285372315e-06,-0.4,-1091.4437581588,-18552.438882489,0.058846915404168,46381.051750904,1005309.6491478
0.25,5.7650598378922e-06,-0.4,-946.0305108875,-18944.28120208,0.049951973324587,47360.668908346,1787721.4497917
0.5,4.8488833463186e-06,-0.4,-789.79807329931,-19262.731994276,0.041013495544254,48156.806043372,3179068.2450437
0.75,3.9747437815857e-06,-0.4,-642.39942499973,-19512.151290915,0.032932992121146,48780.362263888,5653271.6033037
1,3.1828790510649e-06,-0.4,-514.91565532722,-19704.048328075,0.026140442961907,49260.110573854,10053096.49149
1.25,2.5097510885157e-06,-0.4,-411.63599997164,-19851.017266317,0.020742544364404,49627.536706939,17877214.497979
1.5,1.9756996550892e-06,-0.4,-333.44425102731,-19964.062505743,0.016707164983378,49910.15214573,31790682.450526
1.75,1.571978373154e-06,-0.4,-280.99679551512,-20053.744447627,0.014016116633911,50134.358357538,56532716.032661
2,1.2772792718714e-06,-0.4,-253.1254209324,-20132.332964019,0.012576273106501,50330.830388836,100530964.91531
2.25,1.1050438415129e-06,-0.4,-243.66210351905,-20210.832248143,0.012058778346349,50527.078937115,178772144.97974
2.5,1.0027452114508e-06,-0.4,-245.32310434397,-20292.458933499,0.012091880190545,50731.145795951,317906824.50507
2.75,8.133949568587e-07,-0.4,-258.04920896685,-20375.156104948,0.012666928631485,50937.888950309,565327160.32969
3,5.7681017761311e-07,-0.4,-287.66429247134,-20462.171605657,0.014059788512192,51155.427976987,1005309649.1439
3.25,5.4656706768359e-07,-0.4,-336.06958573871,-20567.040768133,0.01634156805541,51417.600772209,1787721449.7863
3.5,8.452313303033e-07,-0.4,-391.13562969045,-20703.453279929,0.018894403172069,51758.631133342,3179068245.0425
3.75,1.3924254084216e-06,-0.4,-431.41477163764,-20871.075104218,0.020673944876773,52177.684005457,5653271603.2943
4,2.0790447857878e-06,-0.4,-445.89394490634,-21052.903990872,0.021184888271145,52632.254181798,10053096491.472
4.25,2.7992155732898e-06,-0.4,-438.29693975046,-21235.663328467,0.020646664259802,53089.150650519,17877214497.941
4.5,3.3367405435486e-06,-0.4,-412.23829744351,-21409.556909469,0.019263217859752,53523.883672871,31790682450.59
4.75,3.4519376146595e-06,-0.4,-373.25879970781,-21566.168318715,0.017316241004725,53915.412739859,56532716033.028
5,3.1229422335853e-06,-0.4,-327.28117867611,-21702.480243246,0.015088167460105,54256.194216807,100530964915.11
5.25,2.625064999907e-06,-0.4,-276.79946171382,-21818.715678927,0.012692895297483,54546.784653614,178772144979.43
5.5,2.1169422287015e-06,-0.4,-223.39436069685,-21912.553837117,0.010200104626967,54781.381635552,317906824506.57
5.75,1.620047706035e-06,-0.4,-171.90861603104,-21983.337330149,0.007824001152939,54958.341583844,565327160328.12
6,1.1706059438885e-06,-0.4,-125.20344543482,-22033.4566184,0.0056853507339188,55083.640629504,1005309649145

