time,MMP_eps_imag,MMP_eps_real,MMP_sigma_imag,MMP_sigma_real,attenuation,dispersion,omega_times_volume
-4.25,0,0,0,0,0,0,0
-4,8.25504335974e-08,-0.4,-20.213616600486,-19423.377949981,0.0010408913000391,48558.444864521,100.53096491495
-3.75,1.4527181097583e-07,-0.4,-35.520626766556,-19424.359910898,0.0018290271330934,48560.899744989,178.77214497935
-3.5,2.6208633832907e-07,-0.4,-62.7609097495,-19427.404678366,0.0032311901700213,48568.511593088,317.90682450526
-3.25,4.8008355899102e-07,-0.4,-109.51016334417,-19436.508861024,0.0056354509309737,48591.271823901,565.32716032829
-3,8.7631533836449e-07,-0.4,-185.1573876709,-19461.546159679,0.0095162031906426,48653.864384863,1005.3096491486
-2.75,1.5203973777703e-06,-0.4,-294.0756259879,-19520.53817877,0.015068736198523,48801.342651771,1787.7214497944
-2.5,2.4962259092989e-06,-0.4,-427.74135960873,-19631.65709458,0.021794590663052,49079.13606117,3179.0682450569
-2.25,3.6951862422091e-06,-0.4,-575.92256997696,-19802.547966725,0.029092501681319,49506.356611706,5653.2716032874
-2,4.6763715866433e-06,-0.4,-728.48033859092,-20043.360098908,0.036356926689533,50108.378948892,10053.096491482
-1.75,5.3124659708779e-06,-0.4,-858.28520385756,-20355.324567951,0.042178449388391,50888.282913333,17877.214497949
-1.5,5.6872734896475e-06,-0.4,-944.04796242813,-20713.599355087,0.045590487097188,51783.964820629,31790.682450535
-1.25,5.814706645722e-06,-0.4,-992.89138755426,-21089.831899261,0.047093720328669,52724.543653435,56532.716032909
-1,5.7358263221255e-06,-0.4,-1020.9486428437,-21475.814593907,0.047553832634421,53689.499873826,100530.96491494
-0.75,5.4972655820949e-06,-0.4,-1026.8466088201,-21876.872784799,0.046951314246613,54692.146671365,178772.14497963
-0.5,5.1149758303491e-06,-0.4,-991.60567868811,-22283.558670895,0.044512243641914,55708.864967883,317906.82450532
-0.25,4.645604174173e-06,-0.4,-907.44867416399,-22665.045773232,0.040048996035793,56662.58807764,565327.16032943
0,4.1701031327476e-06,-0.4,-789.57717067325,-22993.856075651,0.0343490525338,57484.619604016,1005309.6491483
0.25,3.6390062508852e-06,-0.4,-660.84588732203,-23260.979436484,0.028419167692773,58152.433556258,1787721.4497933
0.5,2.9703499925279e-06,-0.4,-538.21987398805,-23470.983323232,0.022938717600442,58677.448312961,3179068.2450571
0.75,2.2889454947658e-06,-0.4,-430.29258672323,-23633.017525003,0.01821298815676,59082.537654847,5653271.6032952
1,1.7451527276797e-06,-0.4,-340.86422150749,-23756.35084317,0.014352704725328,59390.873388918,10053096.491489
1.25,1.301178287656e-06,-0.4,-271.15605590245,-23850.045730201,0.011372458229474,59625.112119731,17877214.49796
1.5,9.0275261109516e-07,-0.4,-220.82765585299,-23922.215754082,0.0092333273945937,59805.538138946,31790682.450534
1.75,5.3003617650165e-07,-0.4,-189.26079147031,-23980.239982949,0.0078936895365237,59950.599330297,56532716.032916
2,1.4075564580958e-07,-0.4,-175.91919625308,-24031.02494677,0.0073208551591974,60077.562212157,100530964.91481
2.25,-3.0559422252349e-07,-0.4,-181.12671703942,-24083.21427014,0.0075201056943424,60208.03602126,178772144.9794
2.5,-8.1058557982992e-07,-0.4,-199.98505186082,-24149.688970804,0.0082790345777647,60374.223439918,317906824.50527
2.75,-1.3383866004216e-06,-0.4,-217.5857182195,-24236.884680888,0.0089741160526837,60592.213521628,565327160.32917
3,-1.7409801774465e-06,-0.4,-219.28225578995,-24333.731713092,0.0090070992158647,60834.331667615,1005309649.1488
3.25,-1.7406771099353e-06,-0.4,-207.72668569448,-24420.234363979,0.008501982640994,61050.588168699,1787721449.7952
3.5,-1.422259295982e-06,-0.4,-198.21139373901,-24493.974034316,0.0080886954401564,61234.93684694,3179068245.0564
3.75,-1.1184952092296e-06,-0.4,-196.12582860852,-24565.812309338,0.0079808935240749,61414.532143901,5653271603.2871
4,-9.960391917862e-07,-0.4,-196.87559745483,-24643.561588875,0.0079864360493045,61608.905197403,10053096491.493
4.25,-9.3728281652964e-07,-0.4,-192.10416774892,-24725.066960896,0.0077672682790018,61812.66852725,17877214497.93
4.5,-7.7727931637399e-07,-0.4,-179.42682296696,-24801.769446323,0.0072324930718141,62004.424487228,31790682450.558
4.75,-5.5227570828082e-07,-0.4,-161.27912784789,-24870.249479227,0.0064834407251221,62175.624254641,56532716032.939
5,-3.8553878342004e-07,-0.4,-139.13772845367,-24928.900665347,0.0055804185642886,62322.251998578,100530964914.96
5.25,-3.0308555090215e-07,-0.4,-115.9001628306,-24976.160810577,0.0046396737480336,62440.402245955,178772144979.32
5.5,-2.8075086170899e-07,-0.4,-94.326114482867,-25013.387902649,0.0037703232474855,62533.469922105,317906824505.52
5.75,-2.6205645214189e-07,-0.4,-74.476547470917,-25043.023372387,0.0029732887880185,62607.558552922,565327160328.55
6,-2.213386301012e-07,-0.4,-55.25293352015,-25065.240925909,0.0022038113996522,62663.102391188,1005309649149.1

