time,MMP_eps_imag,MMP_eps_real,MMP_sigma_imag,MMP_sigma_real,attenuation,dispersion,omega_times_volume
-4.25,0,0,0,0,0,0,0
-4,-8.8076098862105e-08,-0.4,-21.826121474643,-13440.671558599,0.0016236660398182,33601.678908511,100.53096491509
-3.75,-1.5546018099883e-07,-0.4,-37.501878140134,-13443.570103735,0.0027891886575173,33608.925295771,178.77214497958
-3.5,-2.5259498558972e-07,-0.4,-65.92492824332,-13452.062979545,0.0049000984704293,33630.157552926,317.90682450505
-3.25,-3.4712293437399e-07,-0.4,-113.6173245752,-13473.987815013,0.0084314779320066,33684.969784001,565.32716032737
-3,-3.1264715713792e-07,-0.4,-188.06684361601,-13519.247301647,0.013910262198011,33798.118621588,1005.3096491451
-2.75,-1.2923827741491e-09,-0.4,-291.67074298366,-13596.461411972,0.021451956519881,33991.153532286,1787.7214497857
-2.5,5.9272714413158e-07,-0.4,-412.84510822588,-13719.89910954,0.030092455763013,34299.746244371,3179.0682450616
-2.25,1.2137483916428e-06,-0.4,-525.69404197023,-13895.563744511,0.037834828171368,34738.90537308,5653.2716032733
-2,1.5228770277444e-06,-0.4,-618.40890900022,-14105.766479015,0.043844672780992,35264.410311023,10053.096491457
-1.75,1.5759617099726e-06,-0.4,-706.36775237238,-14339.054810282,0.049265756587864,35847.630067594,17877.214497995
-1.5,1.6952433533728e-06,-0.4,-802.76006466145,-14603.334808688,0.054975260975011,36508.328515604,31790.682450506
-1.25,1.9941456270616e-06,-0.4,-908.53892534793,-14909.98174068,0.060939949415051,37274.943027281,56532.716032669
-1,2.4363383275627e-06,-0.4,-1017.3149258123,-15268.928566812,0.066632595399621,38172.305924844,100530.96491506
-0.75,2.8558647851701e-06,-0.4,-1109.7874099422,-15687.993954938,0.070748368509008,39219.965076579,178772.14497987
-0.5,3.1051052885566e-06,-0.4,-1151.5655252518,-16153.765551081,0.07129554758001,40384.391526941,317906.82450496
-0.25,3.1926793763724e-06,-0.4,-1124.3725706013,-16622.821451431,0.067648314658144,41557.031189922,565327.16033014
0,3.1265106434641e-06,-0.4,-1042.1457852239,-17057.005466228,0.061105661677176,42642.493298716,1005309.6491475
0.25,2.8930450121453e-06,-0.4,-925.17230829708,-17438.910211063,0.053059438979919,43597.258796846,1787721.4497911
0.5,2.5354386711325e-06,-0.4,-790.73799852704,-17759.034208069,0.044532308447631,44397.572987964,3179068.245051
0.75,2.1381043215391e-06,-0.4,-656.81200451363,-18015.717001587,0.036463074501971,45039.283725601,5653271.6033041
1,1.7622503226813e-06,-0.4,-537.31600706419,-18216.308367882,0.029500836299231,45540.765000788,10053096.491518
1.25,1.4402587353059e-06,-0.4,-440.00231277605,-18371.85991061,0.023953399571178,45929.645815198,17877214.497983
1.5,1.1878012277375e-06,-0.4,-368.98599949526,-18493.7514622,0.019954898786542,46234.37591583,31790682.450514
1.75,1.0061237826931e-06,-0.4,-326.63023868747,-18594.487929716,0.017568487244577,46486.217770055,56532716.032718
2,8.8191883874136e-07,-0.4,-312.04982739793,-18687.801008444,0.016700254971476,46719.500800866,100530964.91501
2.25,7.920551188903e-07,-0.4,-321.21205196481,-18786.541297605,0.017099968413164,46966.351653718,178772144.9792
2.5,6.972427943812e-07,-0.4,-346.99423332408,-18900.769691017,0.018360479290852,47251.922715279,317906824.50511
2.75,5.5334818733254e-07,-0.4,-378.70072279406,-19035.975096841,0.019895333183407,47589.936432303,565327160.32971
3,3.6264824022756e-07,-0.4,-402.4394809217,-19190.606274453,0.02097155667813,47976.514773943,1005309649.1452
3.25,1.7991671189682e-07,-0.4,-410.09988933541,-19351.567931852,0.021192525528938,48378.919368471,1787721449.7885
3.5,-4.3013245229484e-08,-0.4,-408.451365377,-19506.181810391,0.020939478103257,48765.454635783,3179068245.0511
3.75,-3.9421129955549e-07,-0.4,-408.29025341857,-19656.931858284,0.020769816751819,49142.330651617,5653271603.2809
4,-7.229326739965e-07,-0.4,-411.34560282569,-19810.639500849,0.020762064898323,49526.600610555,10053096491.494
4.25,-7.3646847175015e-07,-0.4,-412.92764817846,-19970.30228734,0.020675243557851,49925.757618856,17877214497.919
4.5,-4.1513036201987e-07,-0.4,-404.3549525966,-20135.061670715,0.020081093075023,50337.65522586,31790682450.587
4.75,3.9715205379476e-08,-0.4,-378.31544772285,-20297.913346413,0.0186382441045,50744.783272126,56532716033.028
5,3.9576104808725e-07,-0.4,-334.04212106442,-20445.576550329,0.016339101739157,51113.940549517,100530964915.2
5.25,5.6108378704983e-07,-0.4,-280.47334558558,-20567.004953274,0.013638456407294,51417.511399527,178772144978.97
5.5,5.780050851054e-07,-0.4,-226.78190717869,-20661.523945211,0.010977494571178,51653.809043663,317906824506.79
5.75,5.2402077047038e-07,-0.4,-176.31271976504,-20733.440018949,0.0085050953171017,51833.599469836,565327160327.99
6,4.4335325075791e-07,-0.4,-129.78272553558,-20785.543337069,0.0062450022438405,51963.857982986,1005309649146.1

