time,MMP_eps_imag,MMP_eps_real,MMP_sigma_imag,MMP_sigma_real,attenuation,dispersion,omega_times_volume
-4.25,0,0,0,0,0,0,0
-4,2.2155131652624e-07,-0.4,-13.585193263481,-12501.79007787,0.001087213723565,31254.475175853,100.53096491509
-3.75,3.6650002367401e-07,-0.4,-20.747384767435,-12502.834288937,0.001660330773161,31257.085674792,178.77214497999
-3.5,6.2714350074124e-07,-0.4,-36.416609397439,-12505.934299993,0.0029135141948053,31264.835607165,317.90682450495
-3.25,1.0114075675893e-06,-0.4,-62.909083740094,-12514.216531699,0.0050295379510136,31285.540931381,565.32716032748
-3,1.4744768725756e-06,-0.4,-104.32538355254,-12532.134812166,0.0083283162986205,31330.33606858,1005.3096491447
-2.75,1.9919599167498e-06,-0.4,-168.90357151361,-12563.548160446,0.013448919515319,31408.868297529,1787.721449786
-2.5,2.5715349349282e-06,-0.4,-264.14287812005,-12618.115402129,0.020940055235654,31545.28425869,3179.0682450606
-2.25,3.1396164881905e-06,-0.4,-391.10197718796,-12712.821281296,0.030772229582557,31782.045526844,5653.2716032775
-2,3.7206271620676e-06,-0.4,-546.10119659643,-12860.098335733,0.042474094456023,32150.233137557,10053.096491493
-1.75,4.5046744832968e-06,-0.4,-727.877940378,-13077.038335716,0.055672060258719,32692.575342311,17877.214497953
-1.5,5.4424266678364e-06,-0.4,-920.11133991684,-13384.354563211,0.068758960679882,33460.855104092,31790.682450509
-1.25,6.3135596044403e-06,-0.4,-1089.0163521815,-13786.627691913,0.07900665349794,34466.526248886,56532.716032666
-1,6.9390925601239e-06,-0.4,-1202.9783594399,-14256.196589111,0.084400311537065,35640.439289687,100530.96491503
-0.75,7.2601472350839e-06,-0.4,-1259.5029325222,-14758.038328676,0.085361802138084,36895.03865843,178772.1449799
-0.5,7.2786780064509e-06,-0.4,-1258.2225027518,-15271.560547788,0.082408230483084,38178.844118099,317906.8245051
-0.25,6.9746126007413e-06,-0.4,-1196.2607290304,-15768.186754174,0.075882996122854,39420.414726856,565327.16033
0,6.382449672416e-06,-0.4,-1084.9866313797,-16218.755863204,0.066913059634585,40546.846367232,1005309.6491477
0.25,5.571804003274e-06,-0.4,-944.38116235124,-16604.928059627,0.056887521934024,41512.287254095,1787721.4497918
0.5,4.5942115126783e-06,-0.4,-797.0766431118,-16920.151407904,0.047119638125604,42300.355627063,3179068.2450472
0.75,3.5591805748144e-06,-0.4,-663.34646321455,-17169.703009888,0.038643619293068,42924.242765261,5653271.6033043
1,2.7345339471855e-06,-0.4,-556.60516955564,-17368.135908011,0.032054333802349,43420.330255149,10053096.491482
1.25,2.4032143788406e-06,-0.4,-481.62744480115,-17532.150149171,0.027477112276556,43830.368137257,17877214.497978
1.5,2.5462677690786e-06,-0.4,-438.83975227716,-17678.548429446,0.024829660601719,44196.364088052,31790682.450521
1.75,2.7575010687004e-06,-0.4,-417.99507845757,-17826.410299753,0.023454976626102,44566.018543377,56532716.032698
2,2.6584490541983e-06,-0.4,-399.23556809011,-17976.85656745,0.02221495743316,44942.134783219,100530964.9152
2.25,2.2529968735649e-06,-0.4,-382.03695812627,-18116.793243887,0.021093084248786,45291.97772873,178772144.97991
2.5,1.6647895169329e-06,-0.4,-378.45058692103,-18250.274316617,0.020740870530848,45625.681852998,317906824.50502
2.75,1.0431338900306e-06,-0.4,-388.80293691456,-18391.215449402,0.021143296410864,45978.036088356,565327160.32965
3,7.5272587746417e-07,-0.4,-406.61929203462,-18546.982410386,0.021925626595085,46367.454112846,1005309649.1445
3.25,1.1222258703065e-06,-0.4,-427.62087481494,-18718.890829389,0.022847156019122,46797.224073809,1787721449.7875
3.5,1.7690074717853e-06,-0.4,-446.74900410609,-18907.513914633,0.02363254479934,47268.779846268,3179068245.0455
3.75,2.1783630031158e-06,-0.4,-453.27827516095,-19108.390802615,0.023726874802973,47770.970833842,5653271603.2994
4,2.5105682246469e-06,-0.4,-443.79075384451,-19309.613745355,0.022989171041418,48274.027397942,10053096491.467
4.25,3.1131588621547e-06,-0.4,-421.93555746072,-19503.376613634,0.021641761304502,48758.433321428,17877214497.946
4.5,3.9071357222909e-06,-0.4,-388.06141447755,-19681.619272085,0.019726717135368,49204.038699213,31790682450.577
4.75,4.3563867759736e-06,-0.4,-344.09842235551,-19838.160226075,0.017356173164359,49595.391190392,56532716033.018
5,3.9954116337135e-06,-0.4,-293.58636343377,-19970.181201618,0.014711227521879,49925.445667823,100530964915.11
5.25,3.0201293435068e-06,-0.4,-241.7416753075,-20076.741246492,0.012048433568834,50191.848550299,178772144979.64
5.5,2.0103066868238e-06,-0.4,-191.88912968747,-20159.896592258,0.0095233850496421,50399.739068397,317906824506.46
5.75,1.262915182002e-06,-0.4,-144.98285533366,-20221.475156206,0.0071729041781849,50553.68674563,565327160328.13
6,7.6183635871966e-07,-0.4,-103.0407234774,-20263.038622377,0.0050870611854238,50657.596065132,1005309649145.6

