time,MMP_eps_imag,MMP_eps_real,MMP_sigma_imag,MMP_sigma_real,attenuation,dispersion,omega_times_volume
-4.25,0,0,0,0,0,0,0
-4,1.6004675309637e-07,-0.4,-17.873374653366,-11274.427417272,0.001585702323656,28186.068525296,100.530964915
-3.75,2.7648549373165e-07,-0.4,-30.765248617041,-11275.252658549,0.0027292552297038,28188.131593195,178.77214497936
-3.5,4.7656659380769e-07,-0.4,-54.424254145979,-11277.771426066,0.0048269900962825,28194.42840302,317.90682450518
-3.25,7.7987236274499e-07,-0.4,-95.373383448779,-11285.05582468,0.0084532490366497,28212.639096724,565.32716032792
-3,1.1684415309556e-06,-0.4,-163.66994627188,-11304.081188147,0.014481758478703,28260.201774883,1005.3096491475
-2.75,1.6363586215703e-06,-0.4,-270.49895062852,-11348.316312603,0.023840135782719,28370.788014576,1787.7214497922
-2.5,2.2632323612888e-06,-0.4,-422.27011936112,-11440.352897548,0.03691625090478,28600.876269857,3179.0682450579
-2.25,3.1144894562234e-06,-0.4,-610.85228669693,-11609.480741023,0.052624483784686,29023.689960218,5653.2716032837
-2,4.2422849915317e-06,-0.4,-805.95112329247,-11870.563398848,0.067905589012622,29676.387124569,10053.09649147
-1.75,5.6701696342608e-06,-0.4,-989.80667919583,-12205.598681341,0.081108748748057,30513.961619897,17877.214497965
-1.5,7.2974695025241e-06,-0.4,-1173.3115852425,-12614.770952472,0.093029332103638,31536.8738569,31790.682450525
-1.25,8.6503910725029e-06,-0.4,-1332.7100666977,-13117.151357968,0.10162242017482,32792.806326688,56532.716032852
-1,9.3365158853276e-06,-0.4,-1426.3617611327,-13686.3020014,0.10424179500509,34215.671752051,100530.96491498
-0.75,9.4356718264835e-06,-0.4,-1449.148385422,-14275.382407569,0.10153763728232,35688.37053851,178772.14497972
-0.5,9.0574667397846e-06,-0.4,-1409.1049448571,-14858.28277946,0.094859173060767,37145.627161348,317906.82450518
-0.25,8.2631085236813e-06,-0.4,-1305.7899656307,-15407.631438616,0.08477036492059,38519.011143326,565327.16032969
0,7.2356483558427e-06,-0.4,-1154.5936345669,-15890.090208158,0.07267942315953,39725.173293438,1005309.649148
0.25,6.181798405611e-06,-0.4,-984.59016017712,-16290.934455656,0.060453428925127,40727.298088552,1787721.4497926
0.5,5.1959729507613e-06,-0.4,-818.45167192147,-16612.716863547,0.049279597108468,41531.76557278,3179068.2450565
0.75,4.3998830505546e-06,-0.4,-671.99772964546,-16864.587597176,0.03985769150442,42161.450508392,5653271.6032986
1,3.84967375534e-06,-0.4,-554.14088457594,-17062.155675151,0.032487411187783,42655.375851041,10053096.491502
1.25,3.4851497161503e-06,-0.4,-465.72078656716,-17220.795786888,0.027052811306475,43051.979319536,17877214.497969
1.5,3.3102360633185e-06,-0.4,-408.01104886342,-17351.909783347,0.023522178865428,43379.766014065,31790682.450527
1.75,3.3446744080777e-06,-0.4,-384.50001467417,-17470.410889485,0.022017007498224,43676.019182989,56532716.03287
2,3.5079788411053e-06,-0.4,-390.1045500945,-17595.308394089,0.022179715590017,43988.262428848,100530964.91485
2.25,3.6271495732861e-06,-0.4,-410.45157026741,-17739.300914372,0.023147051631028,44348.242977476,178772144.97925
2.5,3.3724715048717e-06,-0.4,-427.38258758753,-17904.255625816,0.023878883129583,44760.63005301,317906824.50521
2.75,2.6890716129266e-06,-0.4,-429.86152812534,-18079.182967062,0.023783327940347,45197.950191059,565327160.32937
3,2.0738302641196e-06,-0.4,-419.12327044688,-18256.198306637,0.022963048710641,45640.490332925,1005309649.1478
3.25,1.8365980584794e-06,-0.4,-395.97545976304,-18426.042513701,0.021494583095259,46065.101737983,1787721449.7937
3.5,2.0123383032071e-06,-0.4,-366.20611953561,-18579.751590684,0.019714990587129,46449.374369719,3179068245.0552
3.75,2.4078288150508e-06,-0.4,-334.49323941344,-18716.59060246,0.017877504957092,46791.471470688,5653271603.2826
4,2.5885057921201e-06,-0.4,-305.1241965739,-18837.416878793,0.016204245647937,47093.537258663,10053096491.495
4.25,2.2775181911651e-06,-0.4,-279.87415257306,-18948.510035312,0.014775940933519,47371.271102878,17877214497.928
4.5,1.5483494588371e-06,-0.4,-255.34458656427,-19052.246110035,0.013406206658117,47630.612803358,31790682450.569
4.75,8.9828021583067e-07,-0.4,-230.57562820519,-19148.06261516,0.012043967052497,47870.15524315,56532716032.974
5,5.3871643482603e-07,-0.4,-204.12793349825,-19235.938012652,0.010613147280448,48089.84434425,100530964915.02
5.25,2.8031191844893e-07,-0.4,-175.10218759557,-19312.852153579,0.0090673154525417,48282.130077153,178772144979.14
5.5,1.0950276029198e-07,-0.4,-144.32673200936,-19376.784396231,0.0074487094391254,48441.960891797,317906824505.97
5.75,5.6952961781658e-08,-0.4,-112.70007755129,-19426.456652372,0.0058015131450248,48566.141590814,565327160328.34
6,4.3555568614035e-08,-0.4,-82.449809621509,-19461.693723205,0.0042366265750074,48654.234285568,1005309649148.4

