time,MMP_eps_imag,MMP_eps_real,MMP_sigma_imag,MMP_sigma_real,attenuation,dispersion,omega_times_volume
-4.25,0,0,0,0,0,0,0
-4,1.2877171648716e-07,-0.4,-21.656579239591,-14250.104181807,0.0015200707657831,35625.260437084,100.53096491513
-3.75,2.1259642880254e-07,-0.4,-35.345887272166,-14251.920371411,0.0024806104136058,35629.800881553,178.7721449802
-3.5,3.7111278293109e-07,-0.4,-61.965491261229,-14257.440991054,0.0043471138577075,35643.602333877,317.90682450495
-3.25,6.2782029860921e-07,-0.4,-106.1302387971,-14273.034399331,0.0074372862362572,35682.585581798,565.32716032752
-3,9.8498179362892e-07,-0.4,-171.11479301383,-14310.413747875,0.011959824489433,35776.033316064,1005.3096491443
-2.75,1.3955816315719e-06,-0.4,-254.85113264975,-14379.704083932,0.017726464818113,35949.257986483,1787.7214497843
-2.5,1.8150884287932e-06,-0.4,-353.70776204002,-14480.019712031,0.024431838808232,36200.045266764,3179.0682450604
-2.25,2.4817724469863e-06,-0.4,-476.75266202909,-14613.355540693,0.032630659315713,36533.381455378,5653.2716032769
-2,3.9171388636823e-06,-0.4,-628.32090651262,-14798.970585038,0.042466878912909,36997.411076421,10053.096491492
-1.75,6.1585190464449e-06,-0.4,-798.90357655622,-15058.794754074,0.053067731650121,37646.956125868,17877.21449799
-1.5,8.3172606901464e-06,-0.4,-966.07422331812,-15405.085853097,0.06273225692928,38512.664396772,31790.682450505
-1.25,9.4030846746022e-06,-0.4,-1099.7534048617,-15826.410755522,0.069512112482848,39565.962235226,56532.716032614
-1,9.1701686849733e-06,-0.4,-1185.3453908145,-16292.613092299,0.072776593711144,40731.464772983,100530.96491506
-0.75,8.2573795460966e-06,-0.4,-1223.9933258308,-16780.110330872,0.072963856890617,41950.212640694,178772.14497991
-0.5,7.3960193310542e-06,-0.4,-1215.9679176944,-17273.707483832,0.070412729498281,43184.212486552,317906.824505
-0.25,6.6927673351826e-06,-0.4,-1155.0338075159,-17754.329737277,0.065073260788149,44385.776015938,565327.16033001
0,5.9337158469486e-06,-0.4,-1044.8743751397,-18191.195760915,0.057453349019355,45477.950642357,1005309.6491477
0.25,5.0744545227288e-06,-0.4,-907.68622339427,-18563.834383406,0.048908122705391,46409.557163468,1787721.4497916
0.5,4.2268124822325e-06,-0.4,-764.08642540584,-18869.761275347,0.040503223047591,47174.382997787,3179068.2450416
0.75,3.4999506123645e-06,-0.4,-628.20608180796,-19112.722926818,0.032877235697755,47781.793571573,5653271.6033051
1,2.9216950293738e-06,-0.4,-511.33076868634,-19300.980189448,0.02649978610331,48252.441133842,10053096.491487
1.25,2.5023575174326e-06,-0.4,-420.26101240605,-19446.87671402,0.021616979066448,48617.185210376,17877214.497981
1.5,2.2940411723854e-06,-0.4,-357.51038485313,-19564.01513202,0.018279612930176,48910.032702544,31790682.450523
1.75,2.3189506047066e-06,-0.4,-322.44064315848,-19668.001317257,0.016399973307962,49169.998618216,56532716.032643
2,2.384418241553e-06,-0.4,-305.1198818187,-19773.295167757,0.01543686961735,49433.233370551,100530964.91541
2.25,2.201589633268e-06,-0.4,-290.99505234189,-19876.988862136,0.014645300666456,49692.468149762,178772144.9799
2.5,1.8575601717145e-06,-0.4,-285.22891883324,-19969.046753143,0.014288196905488,49922.613570345,317906824.50515
2.75,1.6472809780696e-06,-0.4,-299.72199325347,-20059.1006305,0.014946064864097,50147.748489611,565327160.32977
3,1.6896351164605e-06,-0.4,-330.7941143373,-20165.023690243,0.016408575619752,50412.555731449,1005309649.1441
3.25,1.9312174057095e-06,-0.4,-361.30534245756,-20294.478992429,0.017807964239153,50736.193118895,1787721449.7853
3.5,2.2477203810797e-06,-0.4,-380.08685244831,-20438.1329283,0.018602567149051,51095.326979581,3179068245.0392
3.75,2.4498443945679e-06,-0.4,-392.5800389752,-20587.686756674,0.019074808211946,51469.210878753,5653271603.2984
4,2.4792114707092e-06,-0.4,-402.72208732772,-20746.166312118,0.019418080192257,51865.409538094,10053096491.476
4.25,2.3749311847853e-06,-0.4,-402.77546882566,-20914.91413878,0.019263750782064,52287.279366581,17877214497.933
4.5,2.1709724479338e-06,-0.4,-384.27472188652,-21085.070569269,0.018230396545919,52712.671207558,31790682450.59
4.75,2.0337109568992e-06,-0.4,-346.90235099412,-21240.838812331,0.016336943055351,53102.092620085,56532716033.039
5,2.0246228402589e-06,-0.4,-298.8580309577,-21371.43106468,0.013989059690604,53428.573878614,100530964915.11
5.25,1.9319528619907e-06,-0.4,-248.81397720332,-21476.56545182,0.011590201467287,53691.410623943,178772144979.57
5.5,1.624373628157e-06,-0.4,-200.33267747169,-21559.665341334,0.0092960736746543,53899.161318602,317906824506.71
5.75,1.2185990383427e-06,-0.4,-154.91632107757,-21622.988464712,0.0071674735939288,54057.469981398,565327160328.08
6,8.4501591968298e-07,-0.4,-113.74358764454,-21668.578976795,0.0052513533427235,54171.446841025,1005309649145.1

