time,MMP_eps_imag,MMP_eps_real,MMP_sigma_imag,MMP_sigma_real,attenuation,dispersion,omega_times_volume
-4.25,0,0,0,0,0,0,0
-4,4.2346492030505e-07,-0.4,-31.044729264546,-11762.794009182,0.0026402895565158,29406.984940758,100.53096491503
-3.75,7.3738996413163e-07,-0.4,-53.770627718304,-11766.070280597,0.0045718168720738,29415.175453581,178.77214497968
-3.5,1.2695211708525e-06,-0.4,-92.826479582699,-11775.859714747,0.0078859512947272,29439.648550038,317.9068245051
-3.25,2.0595830267643e-06,-0.4,-151.9129942978,-11802.093018713,0.012876849267768,29505.230590515,565.3271603278
-3,2.9457528264851e-06,-0.4,-223.17599937192,-11856.840064837,0.018829919894286,29642.096051601,1005.3096491464
-2.75,3.6100352671365e-06,-0.4,-292.62851523602,-11934.648896887,0.024528270064991,29836.61563729,1787.72144979
-2.5,4.1862802068564e-06,-0.4,-378.90288747516,-12021.620670465,0.031528929216299,30054.041759161,3179.0682450595
-2.25,5.1326382464541e-06,-0.4,-516.81884109844,-12135.559746141,0.042599999754001,30338.882781332,5653.2716032791
-2,6.6477686111984e-06,-0.4,-716.50156350516,-12319.2944527,0.058177600882424,30798.20635364,10053.096491478
-1.75,8.5542568807016e-06,-0.4,-953.72264665387,-12614.368578349,0.075627563091975,31535.87044152,17877.214497971
-1.5,1.0370338240254e-05,-0.4,-1176.0242467595,-13031.626394651,0.090269995421008,32578.989741172,31790.682450521
-1.25,1.1706518626704e-05,-0.4,-1343.5661648566,-13541.101225179,0.099250891272165,33852.654730937,56532.716032812
-1,1.248737222081e-05,-0.4,-1444.5206558387,-14110.057279907,0.10240679673516,35275.030426219,100530.964915
-0.75,1.2674206670993e-05,-0.4,-1469.7309119778,-14707.494237736,0.099962750822855,36768.619134468,178772.14497977
-0.5,1.2197371686145e-05,-0.4,-1415.4418991376,-15295.782670152,0.092568804484368,38239.348735629,317906.82450515
-0.25,1.1206766533734e-05,-0.4,-1293.5849457897,-15832.854147131,0.08173077852059,39582.044731103,565327.16032981
0,1.0146190170596e-05,-0.4,-1137.7527779754,-16292.829299466,0.0698569934334,40732.001073356,1005309.6491478
0.25,9.1884675205455e-06,-0.4,-980.38525954129,-16679.029521947,0.058802565180551,41697.517481377,1787721.4497927
0.5,8.077237930647e-06,-0.4,-835.94238856424,-17009.324244485,0.049166367657083,42523.268393214,3179068.2450525
0.75,6.3813701829544e-06,-0.4,-702.94829967068,-17291.627470544,0.040668503738744,43229.040629274,5653271.6033001
1,4.1729993131134e-06,-0.4,-584.78265011203,-17519.09501301,0.033390173482771,43797.722275899,10053096.491495
1.25,2.107095994945e-06,-0.4,-494.89004415393,-17700.722531097,0.027964020055626,44251.799809135,17877214.497972
1.5,8.4722498167825e-07,-0.4,-442.42119403962,-17858.502202712,0.024775820371557,44646.253163889,31790682.450521
1.75,5.345853539146e-07,-0.4,-429.92797586396,-18006.604606297,0.023877464083424,45016.510079205,56532716.032829
2,6.9864755814094e-07,-0.4,-458.34127265572,-18162.089577217,0.025237900802103,45405.221941534,100530964.91499
2.25,1.1852111835872e-06,-0.4,-517.13147865859,-18353.688420864,0.028178853888593,45884.217221069,178772144.97941
2.5,1.9298630074904e-06,-0.4,-577.40367540389,-18595.190810872,0.031056066228082,46487.97006166,317906824.50517
2.75,2.6746586721457e-06,-0.4,-613.21898747743,-18871.627506447,0.032500922797432,47179.058513062,565327160.32946
3,3.6219900293502e-06,-0.4,-613.68423195394,-19157.10714887,0.032043349362348,47892.75397601,1005309649.1468
3.25,5.2547203100471e-06,-0.4,-583.51428108076,-19429.374335593,0.030045730816305,48573.416666823,1787721449.7922
3.5,7.2946968668707e-06,-0.4,-533.34667237189,-19679.92578185,0.027119301149627,49199.790121996,3179068245.0512
3.75,8.5639375472994e-06,-0.4,-467.65345215791,-19897.930427731,0.023524039395631,49744.801015556,5653271603.2866
4,8.4571662980985e-06,-0.4,-398.16487005627,-20077.061590819,0.019852981124978,50192.632908695,10053096491.485
4.25,7.5235243763129e-06,-0.4,-333.99599439841,-20224.359811051,0.016533353715326,50560.883804571,17877214497.933
4.5,6.5373254801401e-06,-0.4,-276.99281613824,-20348.274550492,0.013628941136128,50870.675045191,31790682450.558
4.75,5.4253919479678e-06,-0.4,-224.52374349872,-20451.329958912,0.010992007298635,51128.317274566,56532716032.984
5,3.9922393199067e-06,-0.4,-176.08877846425,-20530.101125217,0.0085870836764483,51325.248414251,100530964915.08
5.25,2.6840153379711e-06,-0.4,-135.4196018026,-20586.221643907,0.0065848772284452,51465.551835774,178772144979.25
5.5,1.7863923346163e-06,-0.4,-103.33013794863,-20627.250562709,0.0050138655587513,51568.125252068,317906824506.23
5.75,1.1914099170461e-06,-0.4,-77.116233527981,-20658.207258458,0.0037359372187048,51645.517571454,565327160328.25
6,7.5683670311157e-07,-0.4,-54.813078399568,-20680.064126974,0.0026524195919679,51700.160057972,1005309649147.9

