time,MMP_eps_imag,MMP_eps_real,MMP_sigma_imag,MMP_sigma_real,attenuation,dispersion,omega_times_volume
-4.25,0,0,0,0,0,0,0
-4,9.0333349449234e-08,-0.4,-18.33815823503,-14815.181343551,0.0012380208906808,37037.953348521,100.53096491503
-3.75,1.5326719465477e-07,-0.4,-31.408975808739,-14817.223025433,0.0021201444606622,37043.05753349,178.77214497927
-3.5,2.795013795343e-07,-0.4,-54.418157223215,-14823.245521027,0.003671835232005,37058.113707487,317.90682450504
-3.25,5.3148990635616e-07,-0.4,-90.321828261207,-14838.918038118,0.0060881491223074,37097.294795198,565.32716032739
-3,1.0731808932549e-06,-0.4,-139.62364728114,-14870.312156855,0.0093921059399066,37175.779455361,1005.3096491471
-2.75,2.1446071747483e-06,-0.4,-205.82846698166,-14916.610098767,0.013803971312805,37291.522486963,1787.7214497922
-2.5,3.8038152852986e-06,-0.4,-304.65082241198,-14984.345635527,0.020340786508942,37460.856842709,3179.0682450621
-2.25,5.9008967687908e-06,-0.4,-440.92220084737,-15102.355597727,0.029210356066477,37755.872724624,5653.2716032751
-2,8.2175352197141e-06,-0.4,-591.29134152366,-15291.691361173,0.038688065796029,38229.198018315,10053.09649146
-1.75,1.0206388614231e-05,-0.4,-731.09570217532,-15546.548702051,0.047051810612247,38866.325093281,17877.214497974
-1.5,1.1235953907303e-05,-0.4,-850.33198387233,-15852.706837783,0.053667715878362,39631.707348868,31790.682450518
-1.25,1.1363557128179e-05,-0.4,-949.47697493884,-16197.278337732,0.058648044679117,40493.128377676,56532.716032881
-1,1.1203867118231e-05,-0.4,-1033.1042280292,-16575.197953121,0.062356437681358,41437.922508026,100530.96491502
-0.75,1.1126367647025e-05,-0.4,-1100.8803040123,-16987.479550167,0.064833326712354,42468.622287565,178772.14497982
-0.5,1.1097277202484e-05,-0.4,-1137.3539924318,-17436.423780938,0.065256488824174,43590.980534215,317906.82450507
-0.25,1.0764895038258e-05,-0.4,-1115.6648819326,-17900.994897634,0.06235119982103,44752.412149076,565327.16033016
0,9.8918877000521e-06,-0.4,-1031.0346510567,-18339.625943941,0.056243765389153,45849.001088819,1005309.6491473
0.25,8.5595764863668e-06,-0.4,-903.22295183267,-18720.437044958,0.048269411667386,46801.044270926,1787721.4497916
0.5,7.0901305225983e-06,-0.4,-758.76823697348,-19030.672653512,0.039888558442194,47576.647995294,3179068.2450626
0.75,5.7489979495449e-06,-0.4,-620.08920011359,-19273.709229877,0.032187187783171,48184.250784166,5653271.6033023
1,4.6383966956858e-06,-0.4,-499.04303856002,-19461.673503402,0.025653953362992,48654.169284714,10053096.491509
1.25,3.7771273683652e-06,-0.4,-399.19130203303,-19606.143413415,0.020369968108892,49015.349105439,17877214.497979
1.5,3.1798490103754e-06,-0.4,-322.10875900538,-19716.399308524,0.016345050318187,49290.991866588,31790682.450503
1.75,2.8860581414838e-06,-0.4,-269.46520332926,-19801.698232139,0.013615403021048,49504.240717193,56532716.032961
2,2.9327226861258e-06,-0.4,-242.53732887862,-19872.429293529,0.012212047546905,49681.068785559,100530964.91461
2.25,3.270180561604e-06,-0.4,-241.03917413523,-19940.909859329,0.012095848464909,49852.269718481,178772144.97896
2.5,3.6414149964251e-06,-0.4,-259.08478306113,-20020.451574484,0.012950111018826,50051.123035592,317906824.50506
2.75,3.7853430404277e-06,-0.4,-283.7071740073,-20117.251079953,0.014112146212647,50293.120983322,565327160.3295
3,3.7650631035956e-06,-0.4,-306.05022730656,-20225.689425552,0.015141172296953,50564.216357535,1005309649.1483
3.25,3.7996195609171e-06,-0.4,-327.39766918513,-20340.91978331,0.016105020921018,50852.291678769,1787721449.7974
3.5,3.9595366020778e-06,-0.4,-350.17849535105,-20463.016933083,0.017122651855857,51157.53366179,3179068245.0616
3.75,4.1646102033447e-06,-0.4,-376.40012211384,-20594.874145506,0.018286813270851,51487.175560934,5653271603.2749
4,4.2047837306445e-06,-0.4,-403.10056931224,-20742.886315138,0.019443711639372,51857.205188673,10053096491.5
4.25,3.9501454103029e-06,-0.4,-419.16557138914,-20908.102790268,0.020057875826393,52270.246622042,17877214497.909
4.5,3.4458381573377e-06,-0.4,-415.29068293343,-21081.386789176,0.019708018510002,52703.458025125,31790682450.571
4.75,2.8188746374813e-06,-0.4,-387.41638898265,-21249.040161144,0.018239232539029,53122.593574733,56532716032.986
5,2.18901231588e-06,-0.4,-339.18434065605,-21395.794912606,0.015858324527066,53489.48263942,100530964915.21
5.25,1.656293268371e-06,-0.4,-282.53638000161,-21513.34992814,0.013137213746657,53783.371894659,178772144978.87
5.5,1.2561804245167e-06,-0.4,-227.53930950027,-21604.561589676,0.010535143893203,54011.402187217,317906824506.01
5.75,9.4574181659205e-07,-0.4,-177.02348333018,-21674.879332278,0.0081695833750372,54187.197284027,565327160327.99
6,6.8216173586686e-07,-0.4,-130.43343642687,-21726.643985602,0.0060050917464316,54316.609407743,1005309649149.1

