time,MMP_eps_imag,MMP_eps_real,MMP_sigma_imag,MMP_sigma_real,attenuation,dispersion,omega_times_volume
-4.25,0,0,0,0,0,0,0
-4,-6.0538933207384e-08,-0.4,-27.702916223113,-11999.267554183,0.002308565921312,29998.168895938,100.53096491512
-3.75,-1.1250385712445e-07,-0.4,-45.26464536775,-12003.887234294,0.0037705510079604,30009.718117561,178.77214498007
-3.5,-1.9420439881972e-07,-0.4,-78.580193474809,-12017.516606372,0.0065383191188793,30043.791611302,317.90682450499
-3.25,-3.1558777996519e-07,-0.4,-131.67082015921,-12052.979468577,0.010923548815054,30132.448931135,565.32716032743
-3,-4.4718985686351e-07,-0.4,-204.26722392378,-12124.465200845,0.016846406158827,30311.163572988,1005.3096491444
-2.75,-4.8622686828594e-07,-0.4,-292.45932251703,-12229.375175969,0.023913278003233,30573.438828638,1787.7214497842
-2.5,-3.5041824564459e-07,-0.4,-391.62893317845,-12360.043182648,0.031684201143912,30900.108814309,3179.0682450608
-2.25,-9.2089562490384e-09,-0.4,-498.14837692,-12523.827491515,0.039776026017036,31309.56875746,5653.2716032764
-2,5.8157414698791e-07,-0.4,-609.3257132981,-12724.915552511,0.047885917545893,31812.286666409,10053.09649148
-1.75,1.2308046048602e-06,-0.4,-732.20301118835,-12969.929978174,0.056456977658464,32424.819312635,17877.214497975
-1.5,1.6201485996143e-06,-0.4,-858.27929417433,-13267.884499489,0.064692548308099,33169.702557305,31790.682450507
-1.25,1.7772343477722e-06,-0.4,-978.87881177354,-13614.122132804,0.071906187095669,34035.294458231,56532.71603265
-1,1.8789061301752e-06,-0.4,-1094.2086183672,-14010.633553538,0.078103165519432,35026.571033601,100530.96491506
-0.75,1.9859159611262e-06,-0.4,-1191.1396809012,-14464.464984534,0.082354375514646,36161.147676049,178772.14497993
-0.5,2.0288407150037e-06,-0.4,-1238.2736291903,-14965.95500462,0.082744472861521,37414.871808962,317906.82450502
-0.25,1.9428188387448e-06,-0.4,-1211.8835728328,-15475.945788331,0.078312448089926,38689.849754476,565327.16033007
0,1.7752503579077e-06,-0.4,-1118.2682137517,-15949.929537546,0.070115629470297,39874.811435542,1005309.6491476
0.25,1.5846934347543e-06,-0.4,-982.89233306159,-16358.76650158,0.060087499630216,40896.906518413,1787721.4497927
0.5,1.3951758547123e-06,-0.4,-834.46333035881,-16693.349235444,0.049991268347988,41733.365811707,3179068.2450437
0.75,1.2274940382731e-06,-0.4,-695.09712609512,-16959.473615903,0.040988846316975,42398.678706686,5653271.6033056
1,1.0970373281253e-06,-0.4,-579.05615532383,-17170.660805226,0.033726325829494,42926.648042452,10053096.491496
1.25,1.0017740232484e-06,-0.4,-493.56959477403,-17343.982450676,0.02846019178326,43359.953036135,17877214.497981
1.5,9.447486955885e-07,-0.4,-440.15263436992,-17497.26117056,0.025157879425779,43743.150327196,31790682.450518
1.75,9.1627488495909e-07,-0.4,-411.59244680083,-17648.393115415,0.023324100559635,44120.980431232,56532716.032656
2,8.567598057161e-07,-0.4,-392.68720067993,-17804.434352895,0.022057727123358,44511.083779291,100530964.91531
2.25,7.2267250163553e-07,-0.4,-377.56309681717,-17956.529738446,0.021028314400781,44891.322640628,178772144.97987
2.5,5.359592436362e-07,-0.4,-370.61114181037,-18101.018077625,0.02047594250825,45252.543952528,317906824.50509
2.75,3.5044081071116e-07,-0.4,-373.44939056956,-18240.869304544,0.020474099775377,45602.172443375,565327160.32972
3,2.4380868461106e-07,-0.4,-387.08001113862,-18385.754146001,0.021053867007487,45964.384775153,1005309649.1443
3.25,2.5366813545384e-07,-0.4,-404.36078061707,-18543.513012468,0.021806684940609,46358.781890067,1787721449.7872
3.5,3.22578340291e-07,-0.4,-418.84373768634,-18708.985944196,0.022388109878425,46772.464016023,3179068245.0421
3.75,3.951155000166e-07,-0.4,-427.18160276029,-18881.167126609,0.022625733888558,47202.916761564,5653271603.2995
4,4.7019997220397e-07,-0.4,-423.09490779485,-19060.184782746,0.022199014799919,47650.46071343,10053096491.479
4.25,5.0553382325289e-07,-0.4,-400.01565572204,-19236.259341272,0.020796141837547,48090.64708922,17877214497.942
4.5,4.8446576244557e-07,-0.4,-361.59346156277,-19395.995452773,0.018643898032852,48489.987536987,31790682450.568
4.75,5.038375725197e-07,-0.4,-313.32651333905,-19534.52006095,0.016040891931567,48836.299165638,56532716032.997
5,5.9849215577109e-07,-0.4,-260.48460909336,-19647.120372543,0.013259653625571,49117.799956885,100530964915.13
5.25,6.7702194671722e-07,-0.4,-211.5130502446,-19735.198626624,0.010719246407946,49337.995671425,178772144979.59
5.5,6.5593708200702e-07,-0.4,-169.31227989616,-19805.089018105,0.0085505679548389,49512.721851015,317906824506.66
5.75,5.3797315230902e-07,-0.4,-131.73543643518,-19860.308116283,0.0066344463348996,49650.769847681,565327160328.04
6,3.8438839732206e-07,-0.4,-97.023763656633,-19900.743474815,0.0048763448597447,49751.858453899,1005309649146

