time,MMP_eps_imag,MMP_eps_real,MMP_sigma_imag,MMP_sigma_real,attenuation,dispersion,omega_times_volume
-4.25,0,0,0,0,0,0,0
-4,3.8325068636941e-08,-0.4,-8.2225639069568,-10148.970551224,0.00081028280317412,25372.426376091,100.53096491503
-3.75,6.0661891477224e-08,-0.4,-13.410869475268,-10149.114761763,0.0013215348288043,25372.786899322,178.77214497934
-3.5,1.0778782945765e-07,-0.4,-23.829763462613,-10149.567152657,0.0023481295427447,25373.917865586,317.90682450504
-3.25,1.9120004999531e-07,-0.4,-42.273085122773,-10150.980888303,0.0041649115334047,25377.452170236,565.32716032763
-3,3.3742374514877e-07,-0.4,-74.613472691298,-10155.330233716,0.0073480662923146,25388.32542692,1005.3096491476
-2.75,5.8697999946668e-07,-0.4,-129.81376881928,-10168.038650029,0.012768312238812,25420.09614878,1787.721449792
-2.5,9.8734046156523e-07,-0.4,-217.94591574256,-10201.439756484,0.02136670050266,25503.598046138,3179.0682450595
-2.25,1.5731302187927e-06,-0.4,-342.10345724226,-10274.361356803,0.033300747115582,25685.900028028,5653.2716032809
-2,2.4146235454658e-06,-0.4,-497.36313625107,-10399.217199758,0.047833028755421,25998.035492543,10053.096491472
-1.75,3.6872853083382e-06,-0.4,-690.34407411117,-10586.662514929,0.065218106110532,26466.640375727,17877.214497973
-1.5,5.3155337067941e-06,-0.4,-918.61921865851,-10869.422566812,0.08452746103345,27173.525893785,31790.682450521
-1.25,6.8347883481036e-06,-0.4,-1142.1966737413,-11271.432451701,0.10135280066174,28178.532329322,56532.716032854
-1,7.9022480397126e-06,-0.4,-1314.7634987783,-11775.832328515,0.11166930722671,29439.515874877,100530.96491501
-0.75,8.4749644410232e-06,-0.4,-1412.7135533144,-12343.958299399,0.11446721398156,30859.820905286,178772.14497981
-0.5,8.6140371116719e-06,-0.4,-1428.7090086061,-12933.418756061,0.11048825970656,32333.469956705,317906.82450515
-0.25,8.3548887759299e-06,-0.4,-1369.0771977172,-13505.854547685,0.1013902668685,33764.564863934,565327.16032995
0,7.7011737778208e-06,-0.4,-1245.7184940723,-14029.948419938,0.088809360122741,35074.811077503,1005309.6491476
0.25,6.7581208911625e-06,-0.4,-1080.8058403673,-14478.633455969,0.074665321694354,36196.537978237,1787721.4497921
0.5,5.7318525235155e-06,-0.4,-906.10675721137,-14841.845992645,0.061065195577608,37104.582513555,3179068.2450575
0.75,4.7512673541942e-06,-0.4,-747.11659109068,-15128.145183983,0.049397775803487,37820.34076868,5653271.6033014
1,3.8844411475343e-06,-0.4,-617.65090573178,-15353.19793648,0.04023918965481,38382.979842401,10053096.491496
1.25,3.1764209698073e-06,-0.4,-524.63743902579,-15535.921179447,0.033777266584393,38839.792530734,17877214.497974
1.5,2.6465115162497e-06,-0.4,-466.6899690632,-15697.106561384,0.029737577144758,39242.758682365,31790682.450515
1.75,2.3439051412416e-06,-0.4,-437.20441023871,-15849.907220777,0.027589900150708,39624.761645795,56532716.032892
2,2.3944606879298e-06,-0.4,-435.04597285816,-16003.198365056,0.027190929670268,40007.989400578,100530964.91481
2.25,2.9125827356682e-06,-0.4,-455.99306804683,-16171.600565542,0.028204438556147,40428.993110978,178772144.97929
2.5,3.9150265545148e-06,-0.4,-482.08617345198,-16363.605767131,0.029470672860766,40909.002617781,317906824.5051
2.75,5.3607412099583e-06,-0.4,-494.84453333425,-16571.340184328,0.029874881127192,41428.333873795,565327160.32945
3,7.2170661826283e-06,-0.4,-491.85653966138,-16783.358248947,0.029324263303843,41958.3734227,1005309649.1482
3.25,9.4087672690949e-06,-0.4,-478.92962952552,-16997.74281717,0.028199612847143,42494.328856056,1787721449.7944
3.5,1.1229350727672e-05,-0.4,-454.2494888614,-17207.673538467,0.02642616983308,43019.15193147,3179068245.0564
3.75,1.1342340705416e-05,-0.4,-419.54000050853,-17395.368572512,0.024146286208566,43488.391655277,5653271603.2831
4,9.6628336885922e-06,-0.4,-384.83768439222,-17556.709188295,0.021943862210461,43891.749703733,10053096491.494
4.25,6.999924957355e-06,-0.4,-352.73907647231,-17701.104816411,0.019945024294553,44252.746595306,17877214497.915
4.5,4.4800966877054e-06,-0.4,-319.97873140534,-17835.111015894,0.017952148041696,44587.768574544,31790682450.571
4.75,3.1777856547656e-06,-0.4,-282.42538292469,-17957.614046857,0.015735279815776,44894.029505013,56532716032.989
5,2.7209065444342e-06,-0.4,-240.04607540182,-18062.262151736,0.013296726590175,45155.651295108,100530964915.07
5.25,2.2855072068393e-06,-0.4,-197.52191366065,-18146.477025968,0.010890577296571,45366.189741952,178772144979.15
5.5,1.6816749963278e-06,-0.4,-158.21110440351,-18212.851000176,0.0086909886004743,45532.125836761,317906824505.91
5.75,1.0820863734407e-06,-0.4,-121.94289372865,-18264.231442569,0.0066793012892734,45660.577781384,565327160328.19
6,6.2667736393739e-07,-0.4,-88.432490935531,-18300.871619907,0.0048337131311256,45752.178703288,1005309649148.9

