time,MMP_eps_imag,MMP_eps_real,MMP_sigma_imag,MMP_sigma_real,attenuation,dispersion,omega_times_volume
-4.25,0,0,0,0,0,0,0
-4,1.2914631577669e-07,-0.4,-12.635945755074,-10506.285840898,0.0012030262712873,26265.714592042,100.53096491513
-3.75,2.0503353788989e-07,-0.4,-18.260393977814,-10506.6516249,0.0017384967338865,26266.629038842,178.77214498005
-3.5,3.6218700607827e-07,-0.4,-32.315709617516,-10507.791654336,0.0030763099645387,26269.479062666,317.90682450488
-3.25,6.3535194773292e-07,-0.4,-57.321735447458,-10511.292226672,0.0054549365228002,26278.230338991,565.32716032726
-3,1.0787603874039e-06,-0.4,-99.299390741989,-10521.528877585,0.0094404311338409,26303.82152427,1005.3096491435
-2.75,1.748501585007e-06,-0.4,-168.96775453004,-10548.461008426,0.016022609955266,26371.150674058,1787.7214497818
-2.5,2.6140567268786e-06,-0.4,-271.28597113171,-10609.508291196,0.025576618978918,26523.766294626,3179.0682450615
-2.25,3.5009953378912e-06,-0.4,-401.10564390077,-10723.925382023,0.037411640046026,26809.804676323,5653.2716032753
-2,4.2054250466477e-06,-0.4,-541.36097858953,-10894.148462766,0.049703361363716,27235.356924822,10053.096491482
-1.75,4.8296370697579e-06,-0.4,-687.8961921556,-11113.695072238,0.061908383275013,27784.216912237,17877.214497967
-1.5,5.4435304647866e-06,-0.4,-843.87022879778,-11388.638891463,0.074111232601896,28471.568513177,31790.682450499
-1.25,5.9748406039148e-06,-0.4,-1005.2352624923,-11734.53472113,0.085679735313681,29336.299258027,56532.71603254
-1,6.3679254934143e-06,-0.4,-1144.2863121896,-12158.483950233,0.094130287330966,30396.164325816,100530.96491506
-0.75,6.6641631385479e-06,-0.4,-1235.4944758915,-12639.462683543,0.097765790985667,31598.605240481,178772.14497996
-0.5,6.8340971615441e-06,-0.4,-1267.8563335025,-13151.769366484,0.096419203221868,32879.36925253,317906.82450501
-0.25,6.7053566046036e-06,-0.4,-1232.6552555009,-13664.440212653,0.09022588287966,34161.048863326,565327.16033019
0,6.2431238961328e-06,-0.4,-1136.4909506265,-14140.296372329,0.080388207268646,35350.696576873,1005309.6491477
0.25,5.6743528757507e-06,-0.4,-1004.3751603709,-14554.37697999,0.069022714738066,36385.906822784,1787721.449791
0.5,5.1199734461563e-06,-0.4,-861.63704546029,-14900.588498359,0.057838548456942,37251.443667552,3179068.2450433
0.75,4.6580311523e-06,-0.4,-726.60951494669,-15184.098454086,0.047864991270927,37960.224976507,5653271.6033064
1,4.3593182772093e-06,-0.4,-611.31531107287,-15416.357650173,0.039664595310385,38540.877465118,10053096.491486
1.25,4.189978785806e-06,-0.4,-522.67306301542,-15610.157971596,0.033493367774939,39025.381237275,17877214.497985
1.5,4.0253892248626e-06,-0.4,-460.7432279742,-15779.624321377,0.02920869038722,39449.049207756,31790682.450521
1.75,3.7517067295596e-06,-0.4,-418.17974684276,-15934.697756534,0.026252729231855,39836.734582282,56532716.032586
2,3.4506671367031e-06,-0.4,-389.94011081903,-16081.694991597,0.024256082711339,40204.22906629,100530964.91529
2.25,3.2228687158048e-06,-0.4,-374.16361027991,-16225.186836225,0.023068727203018,40562.959551178,178772144.97985
2.5,3.0727022250014e-06,-0.4,-368.32507063099,-16367.549726826,0.022511058282332,40918.867241193,317906824.50498
2.75,2.8861991229437e-06,-0.4,-367.45331187832,-16509.923694942,0.022263730894062,41274.802606809,565327160.32984
3,2.5204712617564e-06,-0.4,-369.7378572525,-16651.242136302,0.022211125657497,41628.099514642,1005309649.1431
3.25,1.9825909558218e-06,-0.4,-374.47660488557,-16795.864835338,0.0223007209378,41989.657447102,1787721449.7839
3.5,1.243047902347e-06,-0.4,-373.85028524339,-16946.452207733,0.022063790663854,42366.127614462,3179068245.0434
3.75,4.021866163743e-07,-0.4,-365.27227211459,-17097.483176675,0.021365101935409,42743.707023471,5653271603.2979
4,-2.0321451395374e-07,-0.4,-353.45684236254,-17247.224592699,0.020493040753718,43118.061930659,10053096491.465
4.25,-2.7817183653744e-07,-0.4,-338.40388159223,-17394.719383138,0.019453707344052,43486.799046164,17877214497.941
4.5,1.0542050195352e-07,-0.4,-317.34327189203,-17534.426365141,0.018098561539297,43836.06570376,31790682450.597
4.75,6.1743690842587e-07,-0.4,-289.46566140842,-17661.975940741,0.016390744308164,44154.938734705,56532716033.048
5,9.3018238980441e-07,-0.4,-255.29314044637,-17775.070672612,0.014364752119498,44437.675197108,100530964915.16
5.25,9.5426991811364e-07,-0.4,-216.30596676252,-17870.908601334,0.012106189562729,44677.270212992,178772144979.51
5.5,7.9035295483693e-07,-0.4,-176.13924539522,-17948.090647702,0.0098157913053643,44870.225749004,317906824506.72
5.75,5.9816775797568e-07,-0.4,-137.39242757118,-18008.005429377,0.0076310149504649,45020.013059694,565327160327.97
6,4.4500697703826e-07,-0.4,-101.08715165058,-18051.300482157,0.005601105292501,45128.250924183,1005309649144.2

