time,MMP_eps_imag,MMP_eps_real,MMP_sigma_imag,MMP_sigma_real,attenuation,dispersion,omega_times_volume
-4.25,0,0,0,0,0,0,0
-4,1.0472382056185e-07,-0.4,-12.991025753848,-14177.934178394,0.00091654662181709,35444.83543748,100.5309649151
-3.75,1.8039117489452e-07,-0.4,-22.051479066099,-14179.444505632,0.0015556232608015,35448.61123921,178.77214497948
-3.5,3.12400699318e-07,-0.4,-38.341660881105,-14183.916919939,0.0027039596214832,35459.792224963,317.90682450514
-3.25,5.1768248058605e-07,-0.4,-64.231047460314,-14195.628644477,0.0045260003284303,35489.071403312,565.32716032743
-3,7.9601299794534e-07,-0.4,-101.10761841083,-14219.382520275,0.0071125392914209,35548.455797528,1005.3096491439
-2.75,1.1529136486319e-06,-0.4,-152.13867256234,-14254.889671599,0.010675618499456,35637.223082435,1787.7214497842
-2.5,1.6079457023485e-06,-0.4,-227.32339841167,-14304.910795743,0.015895304765144,35762.274704257,3179.0682450611
-2.25,2.0775778900001e-06,-0.4,-334.65083276835,-14382.602928543,0.023272948389664,35956.502974993,5653.2716032727
-2,2.5779902261434e-06,-0.4,-480.13584793722,-14504.141165902,0.033109814896088,36260.34517709,10053.096491445
-1.75,3.3924509515791e-06,-0.4,-661.08394633339,-14697.333183935,0.044988355387416,36743.318940352,17877.214498013
-1.5,4.6990942209619e-06,-0.4,-846.62722032231,-14983.15051501,0.056517072272625,37457.851417473,31790.682450501
-1.25,6.1853348374183e-06,-0.4,-1004.5903811063,-15349.514763795,0.065463225920603,38373.748064513,56532.71603262
-1,7.194632735255e-06,-0.4,-1125.921780998,-15774.937387409,0.07139216697599,39437.292827052,100530.96491506
-0.75,7.4452666346898e-06,-0.4,-1204.2269784273,-16247.58893441,0.07413598805883,40618.91628576,178772.14497984
-0.5,7.2884032742472e-06,-0.4,-1222.1003770894,-16747.934129732,0.072988534416649,41869.779640676,317906.82450491
-0.25,6.8517788007682e-06,-0.4,-1171.3181514889,-17238.048875611,0.067966786837397,43095.072016303,565327.16033011
0,6.1101154757517e-06,-0.4,-1066.7683169993,-17683.627957668,0.060340526578393,44209.029145868,1005309.6491476
0.25,5.2255146514073e-06,-0.4,-931.24566779084,-18066.811388344,0.05155764877195,45166.998049166,1787721.4497909
0.5,4.3389637012705e-06,-0.4,-785.31453447671,-18382.798609017,0.04273094216678,45956.975220563,3179068.2450499
0.75,3.5289019935679e-06,-0.4,-644.18993862358,-18634.903498123,0.034577830632272,46587.244533662,5653271.6033034
1,2.8461810672359e-06,-0.4,-518.20418799492,-18831.258040356,0.027525419772948,47078.135880362,10053096.491532
1.25,2.2845027305343e-06,-0.4,-412.11374628316,-18982.478014897,0.021715932497291,47456.189151477,17877214.497984
1.5,1.8198378351534e-06,-0.4,-326.66686105809,-19097.984571658,0.017109332838093,47744.957712653,31790682.450518
1.75,1.4588300978144e-06,-0.4,-262.05609422298,-19185.721115583,0.013662560686157,47964.300398973,56532716.032664
2,1.2122725718381e-06,-0.4,-218.55905127816,-19253.439417098,0.011354719803802,48133.596886346,100530964.91502
2.25,1.0841164416272e-06,-0.4,-196.94687778143,-19308.961895706,0.010202475782958,48272.403404451,178772144.97895
2.5,1.0738663121511e-06,-0.4,-198.21971830605,-19362.426819274,0.010240023487276,48406.065717453,317906824.5052
2.75,1.1655885259842e-06,-0.4,-218.60530497156,-19426.89259091,0.011255630334394,48567.229884338,565327160.32983
3,1.3163416710361e-06,-0.4,-246.6001776569,-19509.401145312,0.01264336043297,48773.500833937,1005309649.1438
3.25,1.5222589872898e-06,-0.4,-276.0825675646,-19605.662342944,0.014085583530545,49014.153229968,1787721449.7867
3.5,1.8708614914131e-06,-0.4,-310.59615343832,-19717.292417629,0.015757153191013,49293.22741123,3179068245.051
3.75,2.2741800570714e-06,-0.4,-345.31983011139,-19850.80876471,0.017401443394751,49627.017001925,5653271603.2759
4,2.4005710749834e-06,-0.4,-369.59107815544,-20002.35693693,0.018483379884552,50005.886795338,10053096491.505
4.25,2.2027884516196e-06,-0.4,-377.42200119731,-20160.991169627,0.018725917934198,50402.472726409,17877214497.913
4.5,1.9326206038457e-06,-0.4,-370.6215514727,-20316.884066359,0.01824688003377,50792.205688018,31790682450.591
4.75,1.7664125390766e-06,-0.4,-351.93877075492,-20466.625702734,0.017200157166142,51166.560370405,56532716033.033
5,1.7084403060468e-06,-0.4,-320.69872817243,-20605.508554418,0.015568009731605,51513.767960763,100530964915.21
5.25,1.6892130598847e-06,-0.4,-279.65697863438,-20726.346785699,0.013497049214993,51815.864010822,178772144978.81
5.5,1.6222218553053e-06,-0.4,-233.83856826948,-20826.17082386,0.011232167572886,52065.424687931,317906824506.9
5.75,1.4250002014603e-06,-0.4,-186.84828710485,-20905.550358298,0.0089412986449356,52263.874230964,565327160327.95
6,1.1178739522088e-06,-0.4,-140.40410526146,-20965.105723371,0.0066998325984009,52412.763327054,1005309649145.1

