time,MMP_eps_imag,MMP_eps_real,MMP_sigma_imag,MMP_sigma_real,attenuation,dispersion,omega_times_volume
-4.25,0,0,0,0,0,0,0
-4,3.5659722415481e-07,-0.4,-42.275079434914,-17090.584888445,0.0024744803025783,42726.462126858,100.53096491499
-3.75,6.1031827140062e-07,-0.4,-73.048205635286,-17093.681273293,0.0042749298064274,42734.202904492,178.77214497971
-3.5,1.0330317780067e-06,-0.4,-127.09845798489,-17102.903633594,0.007433979209394,42757.258263096,317.90682450517
-3.25,1.607803972835e-06,-0.4,-213.23243712056,-17127.667554179,0.01245361004057,42819.166742032,565.3271603281
-3,2.1471042058909e-06,-0.4,-335.33536179986,-17182.208289034,0.019521799600834,42955.516221348,1005.3096491468
-2.75,2.4995914407805e-06,-0.4,-496.38151587134,-17281.172753154,0.028730086884681,43202.924126504,1787.7214497895
-2.5,2.9926673927403e-06,-0.4,-702.35267377859,-17451.935693717,0.040252466386648,43629.826094925,3179.0682450578
-2.25,4.4115752247009e-06,-0.4,-940.32857845385,-17728.578573283,0.0530513290813,44321.420500754,5653.2716032832
-2,6.9173875610999e-06,-0.4,-1176.9703240222,-18129.334300156,0.064938135364148,45323.284852087,10053.096491491
-1.75,9.2767686831505e-06,-0.4,-1357.1269786167,-18648.516118517,0.072797307633759,46621.211585259,17877.214497943
-1.5,1.0281059308899e-05,-0.4,-1437.5374381725,-19227.210856541,0.074791627479402,48067.934738299,31790.682450528
-1.25,1.0177621132493e-05,-0.4,-1439.4772012845,-19799.699978229,0.072727548963322,49499.158348192,56532.716032752
-1,9.3708434740808e-06,-0.4,-1399.5723599617,-20353.540967626,0.068786627455947,50883.770421304,100530.96491497
-0.75,8.2280555644878e-06,-0.4,-1320.4223621347,-20885.576001241,0.063242387904432,52213.872077831,178772.14497969
-0.5,7.1539240827305e-06,-0.4,-1200.0021690935,-21376.437119272,0.056154619270576,53441.039126558,317906.82450529
-0.25,6.1282569824003e-06,-0.4,-1047.5733414466,-21804.560534496,0.048059128318107,54511.361199705,565327.16032956
0,5.137371071095e-06,-0.4,-883.53499137904,-22159.060891674,0.039885266194194,55397.623851003,1005309.6491481
0.25,4.2457908306218e-06,-0.4,-725.13211052428,-22443.474615651,0.032319887961027,56108.66729056,1787721.4497931
0.5,3.4513186837302e-06,-0.4,-582.13161032961,-22666.125388389,0.025691524221714,56665.300909744,3179068.2450499
0.75,2.7702349499217e-06,-0.4,-459.62141134437,-22837.131675568,0.020132985285247,57092.82122831,5653271.6032971
1,2.2817495994591e-06,-0.4,-359.14070923981,-22966.875094867,0.015643040311248,57417.182613617,10053096.491482
1.25,2.0260020921488e-06,-0.4,-279.83624396562,-23064.996027699,0.012137573540373,57662.486524339,17877214.497963
1.5,2.0286540209917e-06,-0.4,-219.61021099275,-23139.504515049,0.009495777083225,57848.758501676,31790682.450531
1.75,2.3711329748986e-06,-0.4,-176.72619650039,-23197.249992788,0.0076243396934388,57993.122360925,56532716.032768
2,3.1300550101707e-06,-0.4,-149.75682208319,-23245.419928613,0.0064502482084759,58113.546888306,100530964.91508
2.25,4.144940280999e-06,-0.4,-136.97685726008,-23291.825429238,0.005891261039313,58229.560018336,178772144.97963
2.5,4.6560127689915e-06,-0.4,-135.81080159926,-23342.280238694,0.0058298724165308,58355.696636723,317906824.5052
2.75,4.0635220975318e-06,-0.4,-144.26890915006,-23396.081768664,0.0061765297227711,58490.200751624,565327160.32929
3,3.1944233107856e-06,-0.4,-162.54173347164,-23452.689526012,0.0069386087614062,58631.720566122,1005309649.1467
3.25,3.0029890465011e-06,-0.4,-189.47002654603,-23518.15369201,0.0080638387857642,58795.380670609,1787721449.7902
3.5,3.4167970831635e-06,-0.4,-217.87402833558,-23600.198747533,0.0092404153283295,59000.492211832,3179068245.049
3.75,3.6839089184588e-06,-0.4,-235.54766603267,-23698.318429678,0.0099486359941864,59245.790645819,5653271603.293
4,3.2227692151492e-06,-0.4,-237.6169791018,-23801.990907905,0.0099911293117647,59504.972479747,10053096491.473
4.25,2.092885006482e-06,-0.4,-226.64459212588,-23902.616246337,0.0094872320505494,59756.537649576,17877214497.953
4.5,9.969145411008e-07,-0.4,-205.07760601168,-23993.890918078,0.008549568335071,59984.726017043,31790682450.559
4.75,4.3309327098368e-07,-0.4,-178.31110478299,-24070.258570436,0.0074090258465268,60175.645943361,56532716032.963
5,2.9510413314179e-07,-0.4,-151.69340969705,-24132.698112347,0.0062865417634494,60331.745001052,100530964915
5.25,3.5957637501186e-07,-0.4,-124.98643919091,-24184.493051403,0.0051689394496228,60461.232347571,178772144979.53
5.5,3.9752763064045e-07,-0.4,-98.072317461226,-24225.086344822,0.0040493722834475,60562.715618329,317906824505.92
5.75,3.3681348074422e-07,-0.4,-73.473275043006,-24254.559630587,0.0030300982374638,60636.398921757,565327160328.51
6,2.4847026820514e-07,-0.4,-52.527093522337,-24274.790202206,0.0021644748343599,60686.97542392,1005309649147.5

